Origin,ZIP,Distribution,Parameters,Chi-square,P-value,Minimum,Maximum
ONode2,90230,norm,"(66.71506849315068, 13.971043157657087)",2.449860895561238,0.55545,29.0,114.0
ONode3,90230,norm,"(73.4931506849315, 15.484966892513059)",4.181331824825105,0.05705,38.0,134.0
ONode0,90744,norm,"(315.4246575342466, 44.29363967087912)",0.9451703014335988,0.96553,180.0,431.0
ONode1,90744,norm,"(278.9917808219178, 37.012288790160056)",0.618441623599932,0.98131,184.0,406.0
ONode2,90744,norm,"(294.64931506849314, 40.89830730759843)",4.406701126358837,0.31496,198.0,427.0
ONode3,90744,norm,"(325.1506849315069, 43.63870069285984)",2.585649282507164,0.39138,209.0,439.0
ONode0,90232,norm,"(6.591036414565826, 3.9472329479589483)",59.062998113719196,0.0,1.0,25.0
ONode1,90232,norm,"(6.0852272727272725, 3.7822263697435496)",51.23091021200813,2e-05,1.0,21.0
ONode2,90232,norm,"(6.402266288951841, 3.8604841199179094)",43.05079361419615,6e-05,1.0,22.0
ONode3,90232,norm,"(7.022471910112359, 3.9872761903021323)",24.384759957192003,3e-05,1.0,20.0
ONode0,90247,norm,"(53.88767123287671, 12.973143441017958)",1.8043049556309145,0.53493,22.0,95.0
ONode1,90247,norm,"(48.394520547945206, 11.827665391181057)",1.2207103553645973,0.1428,16.0,86.0
ONode2,90247,norm,"(51.16712328767123, 12.387444536121446)",0.576747548068203,0.43485,19.0,83.0
ONode3,90247,norm,"(56.131506849315066, 13.485424670781525)",0.29698958676366893,0.32392,23.0,124.0
ONode0,90248,norm,"(36.0, 9.754240384543127)",1.3688812524804137,0.29643,10.0,67.0
ONode1,90248,norm,"(31.983561643835618, 9.585077067149035)",2.1809902897188516,0.07277,11.0,63.0
ONode2,90248,norm,"(33.92876712328767, 9.812229990380606)",1.1864306163940876,0.02332,11.0,63.0
ONode3,90248,norm,"(36.55068493150685, 10.095748776910272)",1.3885734708917516,0.3964,9.0,72.0
ONode0,90272,norm,"(208.72876712328767, 29.279201461208643)",2.0251594476026797,0.69239,128.0,303.0
ONode1,90272,norm,"(187.4191780821918, 28.933881440533728)",1.1437417687505944,0.61087,98.0,276.0
ONode2,90272,norm,"(195.13424657534247, 30.303597232907336)",2.049793917188358,0.56419,124.0,303.0
ONode3,90272,norm,"(217.72054794520548, 31.75641434032738)",0.8906791016844328,0.92591,129.0,314.0
ONode0,91303,norm,"(94.71232876712328, 17.291758629319688)",2.4118689752265974,0.2629,48.0,150.0
ONode1,91303,norm,"(85.41643835616438, 16.23548467576989)",1.4677702210153354,0.49715,46.0,129.0
ONode2,91303,norm,"(90.33150684931506, 17.25607994272393)",4.251175294232382,0.22882,51.0,163.0
ONode3,91303,norm,"(99.01095890410959, 18.395946260155533)",5.1806845109698605,0.09563,53.0,150.0
ONode0,91304,norm,"(219.62739726027397, 31.422412646285085)",2.249328009301508,0.80077,144.0,323.0
ONode1,91304,norm,"(193.65205479452055, 27.21113848080699)",2.7653916675327412,0.3957,128.0,296.0
ONode2,91304,norm,"(202.75616438356164, 31.64206055627463)",0.9330300895183444,0.82283,116.0,307.0
ONode3,91304,norm,"(227.8958904109589, 32.88060776009047)",0.6015179821863038,0.70476,137.0,321.0
ONode0,91306,norm,"(210.28493150684932, 30.957963860130914)",0.7167998719833694,0.67433,134.0,301.0
ONode1,91306,norm,"(186.8904109589041, 29.289374221667252)",0.8625582448864391,0.57029,111.0,281.0
ONode2,91306,norm,"(197.84931506849315, 28.85925754599746)",4.795680995656261,0.4928,130.0,292.0
ONode3,91306,norm,"(220.4931506849315, 31.708830837589755)",0.7348312911629424,0.65245,140.0,327.0
ONode0,91307,norm,"(155.2821917808219, 26.292138220053502)",0.77949061062933,0.79989,90.0,239.0
ONode1,91307,norm,"(137.15890410958903, 22.35031081035725)",0.6975678104941663,0.92615,60.0,201.0
ONode2,91307,norm,"(146.52328767123288, 23.771114741226018)",2.066476736252845,0.39208,60.0,215.0
ONode3,91307,norm,"(161.7945205479452, 25.641233330086404)",1.4095947828006317,0.59368,89.0,250.0
ONode0,91311,norm,"(232.54246575342466, 34.93377655801032)",0.5864210899809903,0.86569,130.0,332.0
ONode1,91311,norm,"(206.1041095890411, 28.46666129051818)",1.126587245100494,0.8102,132.0,284.0
ONode2,91311,norm,"(212.0027397260274, 33.03825086004345)",1.3780365588065098,0.38236,127.0,329.0
ONode3,91311,norm,"(242.74520547945207, 33.12199551056086)",2.2041253921517248,0.37669,161.0,355.0
ONode0,90291,norm,"(240.46301369863014, 34.14813622082436)",0.5897408404468346,0.87259,141.0,347.0
ONode1,90291,norm,"(214.84383561643835, 32.68714709619129)",1.3412295742680227,0.79021,135.0,323.0
ONode2,90291,norm,"(226.5068493150685, 32.20717323642985)",2.3547374640417993,0.46161,150.0,336.0
ONode3,90291,norm,"(254.24383561643836, 36.046974627679845)",2.385388120873608,0.72897,161.0,339.0
ONode0,90292,norm,"(56.53150684931507, 12.595159721668345)",1.4732609611152923,0.59029,25.0,89.0
ONode1,90292,norm,"(50.76712328767123, 11.36266482822136)",1.3546580082455646,0.63934,23.0,81.0
ONode2,90292,norm,"(52.635616438356166, 12.912830720749943)",0.32040380117060685,0.6186,20.0,95.0
ONode3,90292,norm,"(57.92328767123288, 13.221594214571082)",0.7580724087999692,0.52185,26.0,100.0
ONode0,90293,norm,"(69.51506849315068, 13.980335222751785)",2.1892933282139624,0.52583,32.0,116.0
ONode1,90293,norm,"(60.52054794520548, 14.405962986304308)",3.1671468732116064,0.22272,26.0,108.0
ONode2,90293,norm,"(64.91232876712328, 14.434660960431218)",2.8432934843566047,0.38179,34.0,117.0
ONode3,90293,norm,"(71.99178082191781, 14.82934663045569)",1.5290746511539737,0.60523,28.0,112.0
ONode0,91316,norm,"(138.44931506849315, 24.121627442811004)",0.8956183152991423,0.80926,72.0,228.0
ONode1,91316,norm,"(123.04931506849314, 20.879111428684336)",3.6110108437949786,0.50453,71.0,184.0
ONode2,91316,norm,"(130.73424657534247, 21.793628698076226)",0.8749545353302859,0.9417,63.0,208.0
ONode3,91316,norm,"(144.24109589041095, 21.525186493815674)",1.6089112909213108,0.70685,83.0,208.0
ONode0,91324,norm,"(149.13698630136986, 23.199737285057836)",0.9479306585106326,0.89981,86.0,219.0
ONode1,91324,norm,"(133.82465753424657, 20.881582504599976)",2.9520668849591427,0.31905,80.0,205.0
ONode2,91324,norm,"(139.84383561643835, 23.13048742032353)",0.9648038348177844,0.60972,76.0,216.0
ONode3,91324,norm,"(157.17808219178082, 25.7295429928979)",0.5249006243662747,0.87087,89.0,226.0
ONode0,91325,norm,"(158.93150684931507, 25.46742682793561)",1.5329061280196958,0.7625,94.0,241.0
ONode1,91325,norm,"(142.33698630136988, 22.804803068047203)",3.9760973549792142,0.32503,89.0,203.0
ONode2,91325,norm,"(146.6164383561644, 24.877910175735288)",1.1200353929248843,0.49871,81.0,231.0
ONode3,91325,norm,"(165.05479452054794, 25.970737173621774)",1.9405258932614435,0.42967,100.0,233.0
ONode0,91326,norm,"(244.36986301369862, 33.729100824762405)",1.1362905849998532,0.88477,143.0,359.0
ONode1,91326,norm,"(218.37260273972603, 32.06317932720041)",3.0846607083829487,0.18267,129.0,319.0
ONode2,91326,norm,"(228.80547945205478, 32.92611858455379)",1.6092667707276334,0.08891,133.0,328.0
ONode3,91326,norm,"(257.2328767123288, 36.24449719138111)",0.5847075541652762,0.91804,147.0,361.0
ONode0,91331,norm,"(400.0082191780822, 51.85847377534481)",1.8071088240795001,0.5976,269.0,573.0
ONode1,91331,norm,"(355.2328767123288, 47.063268563593304)",0.8505988359915411,0.70211,235.0,498.0
ONode2,91331,norm,"(373.05479452054794, 48.7090018433371)",0.6230048502209704,0.94875,249.0,519.0
ONode3,91331,norm,"(416.7068493150685, 51.174523650886115)",0.8657997429474682,0.88324,247.0,553.0
ONode0,91335,norm,"(326.81369863013697, 44.442523494276436)",2.5398383089525125,0.79236,208.0,453.0
ONode1,91335,norm,"(292.6575342465753, 38.3992077465655)",0.6486446855049578,0.99715,192.0,402.0
ONode2,91335,norm,"(305.3041095890411, 41.60858854426)",2.763316379568841,0.48751,190.0,415.0
ONode3,91335,norm,"(339.7917808219178, 44.85050282525256)",1.385989013000382,0.85764,216.0,519.0
ONode0,91340,norm,"(54.912328767123284, 12.908231898336318)",2.8220034718636975,0.13646,24.0,102.0
ONode1,91340,norm,"(47.824657534246576, 11.293928309651125)",1.0052014989590063,0.3588,20.0,89.0
ONode2,91340,norm,"(52.06849315068493, 12.85805410097701)",0.8694257525551272,0.35575,20.0,94.0
ONode3,91340,norm,"(57.18630136986302, 12.655317958135424)",7.618241714453185,0.02763,31.0,96.0
ONode0,91342,norm,"(390.44109589041096, 48.68377084824576)",1.4095590539295813,0.88719,254.0,530.0
ONode1,91342,norm,"(344.82191780821915, 45.42720881180794)",1.4913302447105021,0.81526,225.0,481.0
ONode2,91342,norm,"(361.76164383561644, 48.88516773720905)",0.45397902483546343,0.85864,219.0,562.0
ONode3,91342,norm,"(404.6794520547945, 49.49762678385705)",1.6990943483005971,0.67076,242.0,548.0
ONode0,91343,norm,"(235.9808219178082, 34.00277449410642)",2.4227913939775685,0.59412,159.0,340.0
ONode1,91343,norm,"(207.22739726027396, 30.99730991542442)",0.5594811007931453,0.83499,115.0,314.0
ONode2,91343,norm,"(218.95342465753424, 31.549491810125883)",4.089268163905203,0.22694,144.0,321.0
ONode3,91343,norm,"(242.85479452054796, 35.058124109165746)",0.9948711248306236,0.90338,141.0,350.0
ONode0,91344,norm,"(328.5972602739726, 41.68241958047712)",0.6697125049400597,0.78268,221.0,454.0
ONode1,91344,norm,"(293.1616438356164, 37.94745693335409)",1.1147513651427856,0.36618,195.0,410.0
ONode2,91344,norm,"(309.5945205479452, 42.04641887056041)",0.9472995456126796,0.70533,202.0,427.0
ONode3,91344,norm,"(342.3342465753425, 47.70058504330369)",2.58048301244779,0.85728,216.0,474.0
ONode0,91345,norm,"(97.4931506849315, 18.127647307979583)",1.1006894932157847,0.52486,49.0,158.0
ONode1,91345,norm,"(86.40547945205479, 16.958772655342873)",1.4059826120407894,0.4551,40.0,153.0
ONode2,91345,norm,"(90.34794520547945, 16.71606650320174)",1.3877509165410102,0.46103,46.0,146.0
ONode3,91345,norm,"(102.17260273972603, 19.222997501736646)",1.2277972658555933,0.38216,43.0,159.0
ONode0,91352,norm,"(260.8082191780822, 35.39532417623834)",6.290571486768312,0.24727,181.0,367.0
ONode1,91352,norm,"(232.62739726027397, 33.034366747017124)",1.0673569761951947,0.92544,149.0,325.0
ONode2,91352,norm,"(248.03287671232877, 36.39537850683838)",2.563816788628716,0.3525,158.0,373.0
ONode3,91352,norm,"(272.7150684931507, 39.9426426823184)",1.1358180771914843,0.67654,139.0,391.0
ONode0,91356,norm,"(155.36438356164385, 24.331305556822382)",3.9900024761902135,0.4679,86.0,231.0
ONode1,91356,norm,"(138.0246575342466, 21.52824064875396)",1.945222458361837,0.28069,82.0,212.0
ONode2,91356,norm,"(144.76712328767124, 23.870610432275452)",2.5315113504161704,0.80895,84.0,244.0
ONode3,91356,norm,"(162.1123287671233, 26.550050667884882)",1.6667895144379201,0.77292,97.0,234.0
ONode0,91364,norm,"(217.76438356164383, 31.275870912451545)",1.8091005040881583,0.34321,133.0,322.0
ONode1,91364,norm,"(197.27123287671233, 28.86568555551044)",1.0892393063239207,0.94901,132.0,294.0
ONode2,91364,norm,"(205.0191780821918, 29.868885435058846)",4.683924628107771,0.47845,139.0,314.0
ONode3,91364,norm,"(229.23835616438356, 33.48589001616228)",1.7077681874716006,0.79093,128.0,325.0
ONode0,91367,norm,"(218.08219178082192, 31.687062925426403)",1.8897216029518,0.71792,127.0,305.0
ONode1,91367,norm,"(193.65205479452055, 29.349701217069384)",1.6551739101055203,0.80555,124.0,285.0
ONode2,91367,norm,"(204.0191780821918, 30.717397941732504)",2.4434630780099367,0.26415,121.0,305.0
ONode3,91367,norm,"(225.92328767123288, 31.810304699603694)",1.613538652092359,0.83801,136.0,314.0
ONode0,91401,norm,"(205.33698630136988, 30.749342377863066)",0.6973932105665538,0.83792,120.0,321.0
ONode1,91401,norm,"(182.35068493150686, 27.325892800402475)",2.485038716528665,0.55162,120.0,257.0
ONode2,91401,norm,"(191.58356164383562, 29.7691897989733)",2.6229433084450267,0.23245,119.0,276.0
ONode3,91401,norm,"(213.13424657534247, 31.869357547019185)",0.9135995506922072,0.27579,125.0,295.0
ONode0,91402,norm,"(180.03835616438357, 28.723598384379343)",1.515330348242073,0.85971,111.0,262.0
ONode1,91402,norm,"(159.77534246575343, 24.21567352069315)",1.4066516056491747,0.91268,97.0,230.0
ONode2,91402,norm,"(166.95616438356166, 27.39009413128993)",2.333243651498431,0.6971,90.0,246.0
ONode3,91402,norm,"(190.52328767123288, 29.763223240844876)",0.36169838089909495,0.97539,94.0,279.0
