Assigned Destination Node,ZIP
DNode0,91214
DNode6,90710
DNode6,90717
DNode4,90210
DNode6,90731
DNode6,90732
DNode4,90230
DNode6,90744
DNode4,90232
DNode1,90247
DNode1,90248
DNode4,90272
DNode3,91303
DNode3,91304
DNode3,91306
DNode3,91307
DNode3,91311
DNode4,90291
DNode4,90292
DNode4,90293
DNode3,91316
DNode3,91324
DNode3,91325
DNode3,91326
DNode0,91331
DNode3,91335
DNode0,91340
DNode0,91342
DNode3,91343
DNode3,91344
DNode0,91345
DNode0,91352
DNode3,91356
DNode3,91364
DNode3,91367
DNode5,91401
DNode3,91402
DNode3,91403
DNode3,91405
DNode3,91406
DNode3,91411
DNode5,91423
DNode4,90402
DNode5,90017
DNode3,91436
DNode5,91504
DNode0,91505
DNode6,90501
DNode1,90502
DNode1,90001
DNode1,90002
DNode1,90003
DNode5,90004
DNode5,90005
DNode5,90006
DNode1,90007
DNode1,90008
DNode5,90010
DNode1,90011
DNode5,90012
DNode5,90013
DNode1,90014
DNode1,90015
DNode0,91040
DNode4,90016
DNode1,90018
DNode5,90019
DNode5,91042
DNode1,90021
DNode5,90020
DNode1,90023
DNode4,90024
DNode4,90025
DNode5,90026
DNode5,90027
DNode5,90028
DNode5,90029
DNode5,90031
DNode5,90032
DNode1,90033
DNode4,90034
DNode4,90035
DNode5,90036
DNode1,90037
DNode5,90038
DNode5,90039
DNode5,90041
DNode5,90042
DNode4,90043
DNode1,90044
DNode4,90045
DNode5,90046
DNode1,90047
DNode5,90048
DNode4,90049
DNode4,90056
DNode5,90057
DNode1,90058
DNode1,90059
DNode1,90061
DNode1,90062
DNode1,90063
DNode4,90064
DNode5,91601
DNode4,90066
DNode5,90065
DNode5,91604
DNode4,91605
DNode3,91606
DNode5,90068
DNode3,91607
DNode0,91602
DNode4,90067
DNode5,90069
DNode5,90071
DNode4,90077
DNode1,90089
DNode4,90094
